,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
488,ASV633,FALSE,FALSE
489,ASV634,FALSE,FALSE
490,ASV635,FALSE,FALSE
491,ASV637,FALSE,FALSE
492,ASV638,FALSE,FALSE
493,ASV641,FALSE,FALSE
494,ASV642,FALSE,FALSE
495,ASV644,FALSE,FALSE
496,ASV645,FALSE,FALSE
497,ASV646,FALSE,FALSE
498,ASV648,FALSE,FALSE
499,ASV651,FALSE,FALSE
500,ASV652,FALSE,FALSE
501,ASV653,FALSE,FALSE
502,ASV654,FALSE,FALSE
503,ASV655,FALSE,FALSE
504,ASV657,FALSE,FALSE
505,ASV658,FALSE,FALSE
506,ASV659,FALSE,FALSE
507,ASV660,FALSE,FALSE
508,ASV661,FALSE,FALSE
509,ASV662,FALSE,FALSE
510,ASV663,FALSE,FALSE
511,ASV664,FALSE,FALSE
512,ASV667,FALSE,FALSE
513,ASV669,FALSE,FALSE
514,ASV670,FALSE,FALSE
515,ASV671,FALSE,FALSE
516,ASV672,FALSE,FALSE
517,ASV673,FALSE,FALSE
518,ASV674,FALSE,FALSE
519,ASV675,FALSE,FALSE
520,ASV676,FALSE,FALSE
521,ASV677,FALSE,FALSE
522,ASV678,TRUE,FALSE
523,ASV679,FALSE,FALSE
524,ASV680,FALSE,FALSE
525,ASV681,FALSE,FALSE
